Year,Unemployment rate,Vacancy rate
1951,0.035,0.0384666666666667
1951.25,0.031,0.0400666666666667
1951.5,0.0316666666666667,0.0391333333333333
1951.75,0.0336666666666667,0.0391333333333333
1952,0.0306666666666667,0.0408
1952.25,0.0296666666666667,0.0383
1952.5,0.0323333333333333,0.0379
1952.75,0.0283333333333333,0.0420333333333333
1953,0.027,0.0432
1953.25,0.0256666666666667,0.0403
1953.5,0.0273333333333333,0.0345666666666667
1953.75,0.037,0.0271
1954,0.0526666666666667,0.0225666666666667
1954.25,0.058,0.0206333333333333
1954.5,0.0596666666666667,0.0197333333333333
1954.75,0.0533333333333333,0.0207666666666667
1955,0.0473333333333333,0.0246666666666667
1955.25,0.044,0.0281
1955.5,0.041,0.0313
1955.75,0.0423333333333333,0.0327666666666667
1956,0.0403333333333333,0.0344333333333333
1956.25,0.042,0.0330333333333333
1956.5,0.0413333333333333,0.0312666666666667
1956.75,0.0413333333333333,0.0317666666666667
1957,0.0393333333333333,0.0313666666666667
1957.25,0.041,0.0284666666666667
1957.5,0.0423333333333333,0.0265
1957.75,0.0493333333333333,0.0208333333333333
1958,0.063,0.0183666666666667
1958.25,0.0736666666666667,0.0168666666666667
1958.5,0.0733333333333333,0.0182333333333333
1958.75,0.0636666666666667,0.0194333333333333
1959,0.0583333333333333,0.0226666666666667
1959.25,0.051,0.0260333333333333
1959.5,0.0526666666666667,0.0259333333333333
1959.75,0.056,0.0245
1960,0.0513333333333333,0.0303333333333333
1960.25,0.0523333333333333,0.028
1960.5,0.0553333333333333,0.0258333333333333
1960.75,0.0626666666666667,0.0233
1961,0.068,0.0222666666666667
1961.25,0.07,0.0232666666666667
1961.5,0.0676666666666667,0.0252
1961.75,0.062,0.0277333333333333
1962,0.0563333333333333,0.0288666666666667
1962.25,0.0553333333333333,0.029
1962.5,0.0556666666666667,0.028
1962.75,0.0553333333333333,0.027
1963,0.0576666666666667,0.0275
1963.25,0.0573333333333333,0.0268666666666667
1963.5,0.055,0.0272333333333333
1963.75,0.0556666666666667,0.0280333333333333
1964,0.0546666666666667,0.0286
1964.25,0.052,0.0301666666666667
1964.5,0.05,0.0315333333333333
1964.75,0.0496666666666667,0.0325333333333333
1965,0.049,0.0342666666666667
1965.25,0.0466666666666667,0.0363
1965.5,0.0436666666666667,0.0383333333333333
1965.75,0.041,0.0429666666666667
1966,0.0386666666666667,0.0463
1966.25,0.0383333333333333,0.0467666666666667
1966.5,0.0376666666666667,0.0463333333333333
1966.75,0.037,0.0451666666666667
1967,0.0383333333333333,0.0444666666666667
1967.25,0.0383333333333333,0.0434333333333333
1967.5,0.038,0.0427333333333333
1967.75,0.039,0.0432666666666667
1968,0.0373333333333333,0.0444
1968.25,0.0356666666666667,0.0453
1968.5,0.0353333333333333,0.0473333333333333
1968.75,0.034,0.0502333333333333
1969,0.034,0.0514666666666667
1969.25,0.0343333333333333,0.0513333333333333
1969.5,0.0356666666666667,0.0497
1969.75,0.0356666666666667,0.0489333333333333
1970,0.0416666666666667,0.0439
1970.25,0.0476666666666667,0.0388333333333333
1970.5,0.0516666666666667,0.0357
1970.75,0.0583333333333333,0.0325666666666667
1971,0.0593333333333333,0.0318666666666667
1971.25,0.059,0.0327333333333333
1971.5,0.0603333333333333,0.0331
1971.75,0.0593333333333333,0.0337666666666667
1972,0.0576666666666667,0.0363666666666667
1972.25,0.057,0.0378333333333333
1972.5,0.0556666666666667,0.0400666666666667
1972.75,0.0536666666666667,0.0443666666666667
1973,0.0493333333333333,0.0481333333333333
1973.25,0.0493333333333333,0.0475
1973.5,0.048,0.0475
1973.75,0.0476666666666667,0.0462666666666667
1974,0.0513333333333333,0.0438666666666667
1974.25,0.052,0.0442
1974.5,0.0563333333333333,0.0401666666666667
1974.75,0.066,0.0331
1975,0.0826666666666667,0.0278
1975.25,0.0886666666666667,0.0275333333333333
1975.5,0.0846666666666667,0.0292
1975.75,0.083,0.0303333333333333
1976,0.0773333333333333,0.0324
1976.25,0.0756666666666667,0.0332666666666667
1976.5,0.0773333333333333,0.0330333333333333
1976.75,0.0776666666666667,0.0341333333333333
1977,0.075,0.0366
1977.25,0.0713333333333333,0.0387666666666667
1977.5,0.069,0.0407333333333333
1977.75,0.0666666666666667,0.0438666666666667
1978,0.0633333333333333,0.046
1978.25,0.06,0.0491
1978.5,0.0603333333333333,0.0494666666666667
1978.75,0.059,0.0512666666666667
1979,0.0586666666666667,0.0499333333333333
1979.25,0.057,0.0510333333333333
1979.5,0.0586666666666667,0.0504666666666667
1979.75,0.0596666666666667,0.0497333333333333
1980,0.063,0.0460333333333333
1980.25,0.0733333333333333,0.0379
1980.5,0.0766666666666667,0.0378333333333333
1980.75,0.074,0.0396333333333333
1981,0.0743333333333333,0.0384
1981.25,0.074,0.0381
1981.5,0.074,0.0370333333333333
1981.75,0.0823333333333333,0.0328666666666667
1982,0.0883333333333333,0.0304333333333333
1982.25,0.0943333333333333,0.0273666666666667
1982.5,0.099,0.0240333333333333
1982.75,0.106666666666667,0.0232
1983,0.103666666666667,0.0244666666666667
1983.25,0.101333333333333,0.0269
1983.5,0.0936666666666667,0.0296333333333333
1983.75,0.0853333333333333,0.0335333333333333
1984,0.0786666666666667,0.0363
1984.25,0.0743333333333333,0.0387666666666667
1984.5,0.0743333333333333,0.0393666666666667
1984.75,0.073,0.0398666666666667
1985,0.0723333333333333,0.04
1985.25,0.073,0.0402
1985.5,0.072,0.0404333333333333
1985.75,0.0703333333333333,0.0402333333333333
1986,0.0703333333333333,0.0393333333333333
1986.25,0.0716666666666667,0.0394666666666667
1986.5,0.0696666666666667,0.0393666666666667
1986.75,0.0683333333333333,0.0399333333333333
1987,0.066,0.0405
1987.25,0.0626666666666667,0.0426
1987.5,0.06,0.0440666666666667
