Year,Unemployment rate,Vacancy rate,FERU
1951,0.035,0.0384666666666667,0.0366924152016917
1951.25,0.031,0.0400666666666667,0.0352429662013098
1951.5,0.0316666666666667,0.0391333333333333,0.0352025882886787
1951.75,0.0336666666666667,0.0391333333333333,0.0362972297687976
1952,0.0306666666666667,0.0408,0.0353723055510946
1952.25,0.0296666666666667,0.0383,0.0337080603614823
1952.5,0.0323333333333333,0.0379,0.0350061899288302
1952.75,0.0283333333333333,0.0420333333333333,0.0345100629446607
1953,0.027,0.0432,0.0341525987298185
1953.25,0.0256666666666667,0.0403,0.0321615712717315
1953.5,0.0273333333333333,0.0345666666666667,0.0307379606061011
1953.75,0.037,0.0271,0.0316654385726773
1954,0.0526666666666667,0.0225666666666667,0.0344747895006063
1954.25,0.058,0.0206333333333333,0.0345938337472639
1954.5,0.0596666666666667,0.0197333333333333,0.0343135865543406
1954.75,0.0533333333333333,0.0207666666666667,0.0332799572649298
1955,0.0473333333333333,0.0246666666666667,0.0341695120766387
1955.25,0.044,0.0281,0.0351624800035492
1955.5,0.041,0.0313,0.0358231768552148
1955.75,0.0423333333333333,0.0327666666666667,0.0372440897622995
1956,0.0403333333333333,0.0344333333333333,0.0372667561119976
1956.25,0.042,0.0330333333333333,0.0372478187280813
1956.5,0.0413333333333333,0.0312666666666667,0.0359493470810744
1956.75,0.0413333333333333,0.0317666666666667,0.036235648500092
1957,0.0393333333333333,0.0313666666666667,0.0351248566624201
1957.25,0.041,0.0284666666666667,0.0341633331707158
1957.5,0.0423333333333333,0.0265,0.0334937805171846
1957.75,0.0493333333333333,0.0208333333333333,0.0320589734361189
1958,0.063,0.0183666666666667,0.0340161726242092
1958.25,0.0736666666666667,0.0168666666666667,0.0352492710720535
1958.5,0.0733333333333333,0.0182333333333333,0.0365665299298568
1958.75,0.0636666666666667,0.0194333333333333,0.03517464364504
1959,0.0583333333333333,0.0226666666666667,0.0363623737154524
1959.25,0.051,0.0260333333333333,0.0364376179243375
1959.5,0.0526666666666667,0.0259333333333333,0.0369570321078712
1959.75,0.056,0.0245,0.0370405183549043
1960,0.0513333333333333,0.0303333333333333,0.0394602472256715
1960.25,0.0523333333333333,0.028,0.0382796725865482
1960.5,0.0553333333333333,0.0258333333333333,0.0378079944514972
1960.75,0.0626666666666667,0.0233,0.0382116910556617
1961,0.068,0.0222666666666667,0.0389118662278402
1961.25,0.07,0.0232666666666667,0.0403567425180312
1961.5,0.0676666666666667,0.0252,0.0412940673705074
1961.75,0.062,0.0277333333333333,0.0414664523038403
1962,0.0563333333333333,0.0288666666666667,0.0403256190969904
1962.25,0.0553333333333333,0.029,0.0400582908605281
1962.5,0.0556666666666667,0.028,0.0394799527186478
1962.75,0.0553333333333333,0.027,0.0386522961801754
1963,0.0576666666666667,0.0275,0.0398225229403328
1963.25,0.0573333333333333,0.0268666666666667,0.0392473636765013
1963.5,0.055,0.0272333333333333,0.0387018518075471
1963.75,0.0556666666666667,0.0280333333333333,0.0395034457006249
1964,0.0546666666666667,0.0286,0.0395406963351263
1964.25,0.052,0.0301666666666667,0.0396063967897443
1964.5,0.05,0.0315333333333333,0.039707262140151
1964.75,0.0496666666666667,0.0325333333333333,0.0401972912299103
1965,0.049,0.0342666666666667,0.0409764159812284
1965.25,0.0466666666666667,0.0363,0.0411582312545134
1965.5,0.0436666666666667,0.0383333333333333,0.0409131872247676
1965.75,0.041,0.0429666666666667,0.0419718159403823
1966,0.0386666666666667,0.0463,0.0423115429483098
1966.25,0.0383333333333333,0.0467666666666667,0.0423405505658845
1966.5,0.0376666666666667,0.0463333333333333,0.0417758569298371
1966.75,0.037,0.0451666666666667,0.0408799054141111
1967,0.0383333333333333,0.0444666666666667,0.0412862635213645
1967.25,0.0383333333333333,0.0434333333333333,0.0408037307662479
1967.5,0.038,0.0427333333333333,0.0402972290197064
1967.75,0.039,0.0432666666666667,0.041077974633616
1968,0.0373333333333333,0.0444,0.0407136340799983
1968.25,0.0356666666666667,0.0453,0.0401957709218271
1968.5,0.0353333333333333,0.0473333333333333,0.0408955308615067
1968.75,0.034,0.0502333333333333,0.0413271500751423
1969,0.034,0.0514666666666667,0.0418314076582018
1969.25,0.0343333333333333,0.0513333333333333,0.0419814773971146
1969.5,0.0356666666666667,0.0497,0.0421026523313358
1969.75,0.0356666666666667,0.0489333333333333,0.0417766548312438
1970,0.0416666666666667,0.0439,0.0427687580678545
1970.25,0.0476666666666667,0.0388333333333333,0.0430238951694934
1970.5,0.0516666666666667,0.0357,0.0429476425429848
1970.75,0.0583333333333333,0.0325666666666667,0.0435858029893017
1971,0.0593333333333333,0.0318666666666667,0.0434828190847322
1971.25,0.059,0.0327333333333333,0.0439461792044162
1971.5,0.0603333333333333,0.0331,0.0446881788992719
1971.75,0.0593333333333333,0.0337666666666667,0.0447603495170546
1972,0.0576666666666667,0.0363666666666667,0.0457945896852941
1972.25,0.057,0.0378333333333333,0.0464381308840052
