Year,Unemployment rate,Vacancy rate
2020,0.0383333333333333,0.0424238418982968
2020.25,0.13,0.0340662446201356
2020.5,0.088,0.0395181161852515
2020.75,0.0673333333333333,0.0418791907808119
2021,0.0623333333333333,0.0452816416661648
2021.25,0.0593333333333333,0.0573690998904294
2021.5,0.0506666666666667,0.0664185129628427
2021.75,0.0416666666666667,0.0687006957337751
2022,0.038,0.0700797320678378
2022.25,0.0363333333333333,0.0719649170354968
2022.5,0.0353333333333333,0.0665930524919331
2022.75,0.0356666666666667,0.0647857220943434
2023,0.035,0.0627013957796825
2023.25,0.0356666666666667,0.0576189592079267
2023.5,0.037,0.0542670002345144
2023.75,0.0373333333333333,0.0534942286602566
